PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,TitleGroup,Embarked,FamilySize,AgeGroup
1,0,3,0,22,1,0,7.25,Mr,0,2,3
2,1,1,1,38,1,0,71.2833,Mrs,1,2,4
3,1,3,1,26,0,0,7.925,Miss,0,1,3
4,1,1,1,35,1,0,53.1,Mrs,0,2,4
5,0,3,0,35,0,0,8.05,Mr,0,1,4
6,0,3,0,30,0,0,8.4583,Mr,2,1,4
7,0,1,0,54,0,0,51.8625,Mr,0,1,4
8,0,3,0,2,3,1,21.075,kid,0,5,0
9,1,3,1,27,0,2,11.1333,Mrs,0,3,3
10,1,2,1,14,1,0,30.0708,Mrs,1,2,2
11,1,3,1,4,1,1,16.7,Miss,0,3,1
12,1,1,1,58,0,0,26.55,Miss,0,1,4
13,0,3,0,20,0,0,8.05,Mr,0,1,3
14,0,3,0,39,1,5,31.275,Mr,0,7,4
15,0,3,1,14,0,0,7.8542,Miss,0,1,2
16,1,2,1,55,0,0,16.0,Mrs,0,1,4
17,0,3,0,2,4,1,29.125,kid,2,6,0
18,1,2,0,30,0,0,13.0,Mr,0,1,4
19,0,3,1,31,1,0,18.0,Mrs,0,2,4
20,1,3,1,35,0,0,7.225,Mrs,1,1,4
21,0,2,0,35,0,0,26.0,Mr,0,1,4
22,1,2,0,34,0,0,13.0,Mr,0,1,4
23,1,3,1,15,0,0,8.0292,Miss,2,1,2
24,1,1,0,28,0,0,35.5,Mr,0,1,3
25,0,3,1,8,3,1,21.075,Miss,0,5,1
26,1,3,1,38,1,5,31.3875,Mrs,0,7,4
27,0,3,0,30,0,0,7.225,Mr,1,1,4
28,0,1,0,19,3,2,263.0,Mr,0,6,2
29,1,3,1,21,0,0,7.8792,Miss,2,1,3
30,0,3,0,30,0,0,7.8958,Mr,0,1,4
31,0,1,0,40,0,0,27.7208,Mr,1,1,4
32,1,1,1,35,1,0,146.5208,Mrs,1,2,4
33,1,3,1,21,0,0,7.75,Miss,2,1,3
34,0,2,0,66,0,0,10.5,Mr,0,1,5
